date;ticker;price
2013-06-07;XOM;91.45
2013-06-10;XOM;91.12
2013-06-11;XOM;90.46
2013-06-12;XOM;89.74
2013-06-13;XOM;91.33
2013-06-14;XOM;90.58
2013-06-17;XOM;91.51
2013-06-18;XOM;91.93
2013-06-19;XOM;91.0
2013-06-20;XOM;89.05
2013-06-21;XOM;89.48
2013-06-24;XOM;88.48
2013-06-25;XOM;89.11
2013-06-26;XOM;89.8
2013-06-27;XOM;90.04
2013-06-28;XOM;90.35
2013-07-01;XOM;90.3
2013-07-02;XOM;90.64
2013-07-03;XOM;90.69
2013-07-05;XOM;91.57
2013-07-08;XOM;92.25
2013-07-09;XOM;93.34
2013-07-10;XOM;92.82
2013-07-11;XOM;93.27
2013-07-12;XOM;93.4
2013-07-15;XOM;93.25
2013-07-16;XOM;93.3
2013-07-17;XOM;93.46
2013-07-18;XOM;94.38
2013-07-19;XOM;95.17
2013-07-22;XOM;94.83
2013-07-23;XOM;95.2
2013-07-24;XOM;94.99
2013-07-25;XOM;94.97
2013-07-26;XOM;94.79
2013-07-29;XOM;94.03
2013-07-30;XOM;93.81
2013-07-31;XOM;93.75
2013-08-01;XOM;92.73
2013-08-02;XOM;91.95
2013-08-05;XOM;91.59
2013-08-06;XOM;91.47
2013-08-07;XOM;91.34
2013-08-08;XOM;91.78
2013-08-09;XOM;90.72
2013-08-12;XOM;89.89
2013-08-13;XOM;89.4
2013-08-14;XOM;88.95
2013-08-15;XOM;88.16
2013-08-16;XOM;87.91
2013-08-19;XOM;86.92
2013-08-20;XOM;86.83
2013-08-21;XOM;86.42
2013-08-22;XOM;86.98
2013-08-23;XOM;87.52
2013-08-26;XOM;87.09
2013-08-27;XOM;86.82
2013-08-28;XOM;88.84
2013-08-29;XOM;87.27
2013-08-30;XOM;87.16
2013-09-03;XOM;87.15
2013-09-04;XOM;87.76
2013-09-05;XOM;87.35
2013-09-06;XOM;87.25
2013-09-09;XOM;88.04
2013-09-10;XOM;87.82
2013-09-11;XOM;88.84
2013-09-12;XOM;87.98
2013-09-13;XOM;88.4
2013-09-16;XOM;88.67
2013-09-17;XOM;88.94
2013-09-18;XOM;89.58
2013-09-19;XOM;89.28
2013-09-20;XOM;88.66
2013-09-23;XOM;87.75
2013-09-24;XOM;87.36
2013-09-25;XOM;87.14
2013-09-26;XOM;87.07
2013-09-27;XOM;86.9
2013-09-30;XOM;86.04
2013-10-01;XOM;86.0
2013-10-02;XOM;86.08
2013-10-03;XOM;85.5
2013-10-04;XOM;86.32
2013-10-07;XOM;85.9
2013-10-08;XOM;85.51
2013-10-09;XOM;85.16
2013-10-10;XOM;86.04
2013-10-11;XOM;86.95
2013-10-14;XOM;87.6
2013-10-15;XOM;86.79
2013-10-16;XOM;87.31
2013-10-17;XOM;87.48
2013-10-18;XOM;87.55
2013-10-21;XOM;87.23
2013-10-22;XOM;87.98
2013-10-23;XOM;87.61
2013-10-24;XOM;88.42
2013-10-25;XOM;87.97
2013-10-28;XOM;88.23
2013-10-29;XOM;88.93
2013-10-30;XOM;88.81
2013-10-31;XOM;89.62
2013-11-01;XOM;89.82
2013-11-04;XOM;92.1
2013-11-05;XOM;91.99
2013-11-06;XOM;93.22
2013-11-07;XOM;91.96
2013-11-08;XOM;92.73
2013-11-11;XOM;92.96
2013-11-12;XOM;92.67
2013-11-13;XOM;92.59
2013-11-14;XOM;93.22
2013-11-15;XOM;95.27
2013-11-18;XOM;95.45
2013-11-19;XOM;95.42
2013-11-20;XOM;94.68
2013-11-21;XOM;94.69
2013-11-22;XOM;95.01
2013-11-25;XOM;95.09
2013-11-26;XOM;94.27
2013-11-27;XOM;93.8
2013-11-29;XOM;93.48
2013-12-02;XOM;93.52
2013-12-03;XOM;94.39
2013-12-04;XOM;94.67
2013-12-05;XOM;94.13
2013-12-06;XOM;95.65
2013-12-09;XOM;95.84
2013-12-10;XOM;95.71
2013-12-11;XOM;94.26
2013-12-12;XOM;95.36
2013-12-13;XOM;95.31
2013-12-16;XOM;97.22
2013-12-17;XOM;96.75
2013-12-18;XOM;99.54
2013-12-19;XOM;99.43
2013-12-20;XOM;98.68
2013-12-23;XOM;98.51
2013-12-24;XOM;99.22
2013-12-26;XOM;100.9
2013-12-27;XOM;101.51
2013-12-30;XOM;100.31
2013-12-31;XOM;101.2
2014-01-02;XOM;99.75
2014-01-03;XOM;99.51
2014-01-06;XOM;99.66
2014-01-07;XOM;101.07
2014-01-08;XOM;100.74
2014-01-09;XOM;99.76
2014-01-10;XOM;100.52
2014-01-13;XOM;98.55
2014-01-14;XOM;99.12
2014-01-15;XOM;98.78
2014-01-16;XOM;98.94
2014-01-17;XOM;99.16
2014-01-21;XOM;98.5
2014-01-22;XOM;97.88
2014-01-23;XOM;96.97
2014-01-24;XOM;94.85
2014-01-27;XOM;94.92
2014-01-28;XOM;95.65
2014-01-29;XOM;95.11
2014-01-30;XOM;93.99
2014-01-31;XOM;92.16
2014-02-03;XOM;90.05
2014-02-04;XOM;90.02
2014-02-05;XOM;89.58
2014-02-06;XOM;89.8
2014-02-07;XOM;90.58
2014-02-10;XOM;89.52
2014-02-11;XOM;90.84
2014-02-12;XOM;91.08
2014-02-13;XOM;91.43
2014-02-14;XOM;94.11
2014-02-18;XOM;94.07
2014-02-19;XOM;93.95
2014-02-20;XOM;95.37
2014-02-21;XOM;95.03
2014-02-24;XOM;96.44
2014-02-25;XOM;96.31
2014-02-26;XOM;95.79
2014-02-27;XOM;95.84
2014-02-28;XOM;96.27
2014-03-03;XOM;95.5
2014-03-04;XOM;96.52
2014-03-05;XOM;93.8
2014-03-06;XOM;93.76
2014-03-07;XOM;94.99
2014-03-10;XOM;95.5
2014-03-11;XOM;94.01
2014-03-12;XOM;94.21
2014-03-13;XOM;93.64
2014-03-14;XOM;93.47
2014-03-17;XOM;94.32
2014-03-18;XOM;94.71
2014-03-19;XOM;93.73
2014-03-20;XOM;94.58
2014-03-21;XOM;94.31
2014-03-24;XOM;94.64
2014-03-25;XOM;94.91
2014-03-26;XOM;94.7
2014-03-27;XOM;96.24
2014-03-28;XOM;97.7
2014-03-31;XOM;97.68
2014-04-01;XOM;97.73
2014-04-02;XOM;97.95
2014-04-03;XOM;97.93
2014-04-04;XOM;97.36
2014-04-07;XOM;96.78
2014-04-08;XOM;97.45
2014-04-09;XOM;97.33
2014-04-10;XOM;96.78
2014-04-11;XOM;96.72
2014-04-14;XOM;97.86
2014-04-15;XOM;98.68
2014-04-16;XOM;99.94
2014-04-17;XOM;100.42
2014-04-21;XOM;100.93
2014-04-22;XOM;100.37
2014-04-23;XOM;100.5
2014-04-24;XOM;100.01
2014-04-25;XOM;100.41
2014-04-28;XOM;101.17
2014-04-29;XOM;101.45
2014-04-30;XOM;102.41
2014-05-01;XOM;101.41
2014-05-02;XOM;102.01
2014-05-05;XOM;102.91
2014-05-06;XOM;102.67
2014-05-07;XOM;103.11
2014-05-08;XOM;102.32
2014-05-09;XOM;101.95
2014-05-12;XOM;102.23
2014-05-13;XOM;102.36
2014-05-14;XOM;102.29
2014-05-15;XOM;100.78
2014-05-16;XOM;100.74
2014-05-19;XOM;100.87
2014-05-20;XOM;100.67
2014-05-21;XOM;102.03
2014-05-22;XOM;101.5
2014-05-23;XOM;101.32
2014-05-27;XOM;101.36
2014-05-28;XOM;101.06
2014-05-29;XOM;101.27
2014-05-30;XOM;100.53
2014-06-02;XOM;99.94
2014-06-03;XOM;100.39
2014-06-04;XOM;100.04
2014-06-05;XOM;100.55
2014-06-06;XOM;101.6
2014-06-09;XOM;101.52
2014-06-10;XOM;101.46
2014-06-11;XOM;101.95
2014-06-12;XOM;101.66
2014-06-13;XOM;102.65
2014-06-16;XOM;102.92
2014-06-17;XOM;102.42
2014-06-18;XOM;102.73
2014-06-19;XOM;102.63
2014-06-20;XOM;103.83
2014-06-23;XOM;104.38
2014-06-24;XOM;102.73
2014-06-25;XOM;102.14
2014-06-26;XOM;102.03
2014-06-27;XOM;101.21
2014-06-30;XOM;100.68
2014-07-01;XOM;101.36
2014-07-02;XOM;101.57
2014-07-03;XOM;102.59
2014-07-07;XOM;102.65
2014-07-08;XOM;102.83
2014-07-09;XOM;103.55
2014-07-10;XOM;102.57
2014-07-11;XOM;101.74
2014-07-14;XOM;102.68
2014-07-15;XOM;102.39
2014-07-16;XOM;103.77
2014-07-17;XOM;102.31
2014-07-18;XOM;102.73
2014-07-21;XOM;103.08
2014-07-22;XOM;103.54
2014-07-23;XOM;104.25
2014-07-24;XOM;104.28
2014-07-25;XOM;103.18
2014-07-28;XOM;104.37
2014-07-29;XOM;103.55
2014-07-30;XOM;103.25
2014-07-31;XOM;98.94
2014-08-01;XOM;98.8
2014-08-04;XOM;100.13
2014-08-05;XOM;98.2
2014-08-06;XOM;98.98
2014-08-07;XOM;98.27
2014-08-08;XOM;99.74
2014-08-11;XOM;98.73
2014-08-12;XOM;98.49
2014-08-13;XOM;99.09
2014-08-14;XOM;99.09
2014-08-15;XOM;99.03
2014-08-18;XOM;99.52
2014-08-19;XOM;99.49
2014-08-20;XOM;99.7
2014-08-21;XOM;99.28
2014-08-22;XOM;98.5
2014-08-25;XOM;98.75
2014-08-26;XOM;99.64
2014-08-27;XOM;99.53
2014-08-28;XOM;99.57
2014-08-29;XOM;99.46
2014-09-02;XOM;98.49
2014-09-03;XOM;99.11
2014-09-04;XOM;98.36
2014-09-05;XOM;99.26
2014-09-08;XOM;97.77
2014-09-09;XOM;97.39
2014-09-10;XOM;96.81
2014-09-11;XOM;97.03
2014-09-12;XOM;95.78
2014-09-15;XOM;96.29
2014-09-16;XOM;97.43
2014-09-17;XOM;97.08
2014-09-18;XOM;96.61
2014-09-19;XOM;97.12
2014-09-22;XOM;96.54
2014-09-23;XOM;96.03
2014-09-24;XOM;95.82
2014-09-25;XOM;94.25
2014-09-26;XOM;95.43
2014-09-29;XOM;94.43
2014-09-30;XOM;94.05
2014-10-01;XOM;92.86
2014-10-02;XOM;93.3
2014-10-03;XOM;93.92
2014-10-06;XOM;94.52
2014-10-07;XOM;93.37
2014-10-08;XOM;94.61
2014-10-09;XOM;91.82
2014-10-10;XOM;91.6
2014-10-13;XOM;90.84
2014-10-14;XOM;90.55
2014-10-15;XOM;90.22
2014-10-16;XOM;90.6
2014-10-17;XOM;91.21
2014-10-20;XOM;91.77
2014-10-21;XOM;93.65
2014-10-22;XOM;93.13
2014-10-23;XOM;94.11
2014-10-24;XOM;94.49
2014-10-27;XOM;93.71
2014-10-28;XOM;95.1
2014-10-29;XOM;94.59
2014-10-30;XOM;94.45
2014-10-31;XOM;96.71
2014-11-03;XOM;95.26
2014-11-04;XOM;94.52
2014-11-05;XOM;95.07
2014-11-06;XOM;96.26
2014-11-07;XOM;96.59
2014-11-10;XOM;96.28
2014-11-11;XOM;96.41
2014-11-12;XOM;95.38
2014-11-13;XOM;94.66
2014-11-14;XOM;95.09
2014-11-17;XOM;95.11
2014-11-18;XOM;94.87
2014-11-19;XOM;95.61
2014-11-20;XOM;95.82
2014-11-21;XOM;96.81
2014-11-24;XOM;95.72
2014-11-25;XOM;94.78
2014-11-26;XOM;94.48
2014-11-28;XOM;90.54
2014-12-01;XOM;92.35
2014-12-02;XOM;94.19
2014-12-03;XOM;94.95
2014-12-04;XOM;94.37
2014-12-05;XOM;93.82
2014-12-08;XOM;91.7
2014-12-09;XOM;91.38
2014-12-10;XOM;88.67
2014-12-11;XOM;89.2
2014-12-12;XOM;86.6
2014-12-15;XOM;86.9
2014-12-16;XOM;86.41
2014-12-17;XOM;89.02
2014-12-18;XOM;91.16
2014-12-19;XOM;93.64
2014-12-22;XOM;93.33
2014-12-23;XOM;94.59
2014-12-24;XOM;93.78
2014-12-26;XOM;93.21
2014-12-29;XOM;93.07
2014-12-30;XOM;93.02
2014-12-31;XOM;92.45
2015-01-02;XOM;92.83
2015-01-05;XOM;90.29
2015-01-06;XOM;89.81
2015-01-07;XOM;90.72
2015-01-08;XOM;92.23
2015-01-09;XOM;92.1
2015-01-12;XOM;90.33
2015-01-13;XOM;90.0
2015-01-14;XOM;89.74
2015-01-15;XOM;88.96
2015-01-16;XOM;91.12
2015-01-20;XOM;91.09
2015-01-21;XOM;91.87
2015-01-22;XOM;92.87
2015-01-23;XOM;90.89
2015-01-26;XOM;91.76
2015-01-27;XOM;90.95
2015-01-28;XOM;87.95
2015-01-29;XOM;87.58
2015-01-30;XOM;87.42
2015-02-02;XOM;89.58
2015-02-03;XOM;92.25
2015-02-04;XOM;91.46
2015-02-05;XOM;92.36
2015-02-06;XOM;91.5
2015-02-09;XOM;91.56
2015-02-10;XOM;91.01
2015-02-11;XOM;90.6
2015-02-12;XOM;92.37
2015-02-13;XOM;93.37
2015-02-17;XOM;93.05
2015-02-18;XOM;91.01
2015-02-19;XOM;89.44
2015-02-20;XOM;89.92
2015-02-23;XOM;89.01
2015-02-24;XOM;89.42
2015-02-25;XOM;89.6
2015-02-26;XOM;88.65
2015-02-27;XOM;88.54
2015-03-02;XOM;88.04
2015-03-03;XOM;87.62
2015-03-04;XOM;87.18
2015-03-05;XOM;86.74
2015-03-06;XOM;85.63
2015-03-09;XOM;85.16
2015-03-10;XOM;84.26
2015-03-11;XOM;84.02
2015-03-12;XOM;84.22
2015-03-13;XOM;83.87
2015-03-16;XOM;84.76
2015-03-17;XOM;84.08
2015-03-18;XOM;86.07
2015-03-19;XOM;84.41
2015-03-20;XOM;84.54
2015-03-23;XOM;85.43
2015-03-24;XOM;84.52
2015-03-25;XOM;84.86
2015-03-26;XOM;84.32
2015-03-27;XOM;83.58
2015-03-30;XOM;85.63
2015-03-31;XOM;85.0
2015-04-01;XOM;84.46
2015-04-02;XOM;84.3
2015-04-06;XOM;85.13
2015-04-07;XOM;85.75
2015-04-08;XOM;84.06
2015-04-09;XOM;84.65
2015-04-10;XOM;85.56
2015-04-13;XOM;85.34
2015-04-14;XOM;86.63
2015-04-15;XOM;88.08
2015-04-16;XOM;87.73
2015-04-17;XOM;86.93
2015-04-20;XOM;87.24
2015-04-21;XOM;86.88
2015-04-22;XOM;87.46
2015-04-23;XOM;87.54
2015-04-24;XOM;86.97
2015-04-27;XOM;87.01
2015-04-28;XOM;87.8
